Country,Library_Size_Per_Dollar_Avg
Turkey,1548.053393
India,982.0168067
Argentina,739.8963731
Colombia,709.6208531
Philippines,696.0612691
Brazil,688.0073801
Hungary,642.7637722
Czechia,637.510879
Ukraine,630.4844427
Slovakia,623.3018311
Bulgaria,602.215003
South Africa,595.6386293
Peru,582.4766355
Lithuania,572.5339634
Estonia,572.0023627
Latvia,571.470762
Malaysia,558.698373
Canada,537.6903189
Russia,526.6830618
Australia,504.5942228
Chile,504.1049798
United Kingdom,503.3846931
Singapore,492.0374707
Mexico,478.7152445
New Zealand,476.9270969
Hong Kong,474.4418527
Thailand,474.400767
Poland,472.0357253
Romania,469.8464265
South Korea,458.5172109
Ecuador,454.2311192
Bolivia,454.1401274
Honduras,453.9581438
Ireland,442.0263517
Venezuela,436.4877161
Iceland,435.2794184
Guatemala,433.7579618
Taiwan,428.8714646
Monaco,428.5503323
United States,426.0190383
Gibraltar,420.2862335
Japan,417.8326126
Paraguay,417.4934726
Netherlands,396.9480679
Uruguay,394.1796155
Costa Rica,394.1006057
Germany,386.2789641
Austria,384.3707406
Greece,384.3221477
Israel,379.6013289
Portugal,372.6556731
Indonesia,364.6341463
France,357.2834646
Spain,356.3607451
Italy,353.2258065
Moldova,348.8186651
Norway,340.7927747
Belgium,327.4278215
Finland,298.6709328
Denmark,293.1818182
Sweden,292.03125
Switzerland,273.9303483
Croatia,201.4766686
San Marino,157.4284416
Liechtenstein,151.641791
