Country,No_of_Movies,No_of_TV_Shows,Total_Library
Czechia,2091,5234,7325
Slovakia,1980,5055,7035
Bulgaria,1978,4819,6797
Hungary,2082,4802,6884
United Kingdom,2092,4551,6643
Ireland,1971,4515,6486
Lithuania,1972,4490,6462
Estonia,1970,4486,6456
Latvia,1971,4479,6450
Iceland,1961,4426,6387
Canada,1928,4311,6239
Philippines,2208,4154,6362
Singapore,2194,4109,6303
Gibraltar,2088,4079,6167
Australia,2064,4050,6114
New Zealand,2081,4003,6084
Romania,1471,3832,5303
United States,1992,3826,5818
Germany,1854,3814,5668
Monaco,1998,3806,5804
Austria,1861,3779,5640
Netherlands,1597,3779,5376
India,2125,3718,5843
South Africa,2050,3686,5736
Switzerland,1852,3654,5506
Israel,2063,3650,5713
Russia,2087,3624,5711
Japan,1856,3619,5475
France,1841,3604,5445
Malaysia,2387,3565,5952
Italy,1638,3545,5183
Spain,1693,3536,5229
Poland,1597,3512,5109
Portugal,1628,3419,5047
Belgium,1616,3374,4990
Greece,1428,3344,4772
South Korea,1861,3334,5195
Ukraine,2075,3261,5336
Brazil,1810,3162,4972
Mexico,1835,3158,4993
Chile,1838,3156,4994
Colombia,1835,3156,4991
Ecuador,1837,3155,4992
Bolivia,1836,3155,4991
Peru,1831,3155,4986
Paraguay,1642,3155,4797
Honduras,1835,3154,4989
Uruguay,1835,3154,4989
Venezuela,1643,3154,4797
Guatemala,1613,3154,4767
Argentina,1606,3154,4760
Costa Rica,1836,3152,4988
Taiwan,1971,3134,5105
Denmark,1580,2978,4558
Thailand,1971,2977,4948
Sweden,1388,2973,4361
Norway,1573,2955,4528
Turkey,1709,2930,4639
Hong Kong,1863,2883,4746
Finland,1407,2638,4045
Moldova,1464,2473,3937
Indonesia,1438,2449,3887
San Marino,373,1937,2310
Liechtenstein,1336,1712,3048
Croatia,599,1675,2274
